date,title,body
2005-02-24,jigブラウザVer3.1.3リリース,"jigブラウザの最新版を公開しました。最新バージョンは3.1.3となっております。
DoCoMoはバージョンアップを、auは再ダウンロードをお願いします。

バージョン3.1.2にバージョンアップしたユーザの一部において下記の不具合が発生する点を修正いたしました
・パケット料金通知設定が正常に動作しない
・起動時に強制終了する
"
2005-02-24,jigブラウザVer3.1.2リリース,"jigブラウザの最新版を公開しました。最新バージョンは3.1.2となっております。 
DoCoMoはバージョンアップを、auは再ダウンロードをお願いします。 

◇アプリ側
・MIDI/MLDの試聴機能追加(DoCoMoのみ）
・表示設定に料金通知設定追加

◇サーバ側(バージョンアップ不要)
・音楽ファイル(MIDI/MLD)のダウンロード・URLメール送信に対応(DoCoMoのみ) 
・圧縮ファイル(ZIP/LZH)ファイルに対応 
・レイアウト方式を一部変更

MIDI/MLD及びZIP/LZH対応に関する詳細は[MENU]→[HELP]→「よくある質問」→「使い方を知りたい」をご参照ください。
"
2005-02-25,MIDI/MLDのダウンロードに関して,"SH900iでアプリからのサイト接続(iモードブラウザへの移行)で直接MIDI/MLDをダウンロードすることができない現象を確認しております。｢このURLを自分宛にメール送信｣をお使いください。今後改善予定でございます。
"
2005-03-01,対応機種追加,"DoCoMo700i/505i/506iシリーズ/premini-IIに対応しました。
詳しくはMENU⇒HELP⇒jigブラウザの使い方⇒対応機種をご覧ください。"
2005-03-01,サーバ側の修正,"サーバ側の変更を行いました。(アプリのバージョンアップ不要) 修正点は以下になります。

・画面左側が表示されないことがあった不具合を修正"
2005-03-10,スタッフを募集,"jig.jpでは、新規スタッフを募集いたします。
詳しくはjigブラウザPCサイトhttp://br.jig.jp/から会社情報⇒採用情報をご覧ください。"
2005-03-10,jigブラウザVer3.1.5リリース,"jigブラウザの最新版を公開しました。最新バージョンは3.1.5となっております。 DoCoMoはバージョンアップを、auは再ダウンロードをお願いします。 

【DoCoMo　901i/900iシリーズ、au】
ショートカット設定に項目追加
・商品バーコード検索(DoCoMoのみ)、Amazon検索、国語辞書、英和和英辞書、乗換案内、地図

【DoCoMo　700i/506i/505iシリーズ、premini-II】
・MENU⇒｢ホーム設定｣⇒｢標準のホームに戻す｣を選んだ場合の不具合を修正"
2005-03-11,jigブラウザVer3.1.6リリース,"jigブラウザの最新版を公開しました。最新バージョンは3.1.6となっております。 DoCoMoはバージョンアップを、auは再ダウンロードをお願いします。 

・メニュー表示の高速化"
2005-03-15,サーバ復旧のお知らせ,本日18:00～19:00の間、サーバのハードウェアの障害により、お客様番号の末尾1016のお客様がご利用いただけない状態となっておりました。現在は復旧しております。ご迷惑をおかけし、申し訳ございませんでした。
2005-03-15,サーバ障害のお知らせ,現在サーバの一台にハードウェア障害が発生し、お客様番号の末尾1016のお客様がご利用いただけない状態となっております。大変申し訳ございませんが、復旧までしばらくお待ちください。
